time,route_id,SortingCneter_time
0,11,0.308786315065738
1,11,0.2835240901373463
2,11,0.3098570596764115
3,11,0.2619297538264015
4,11,0.3594033613662104
5,11,0.3010087514787273
6,11,0.2580747707484805
7,11,0.2659328528065949
8,11,0.2501363286621159
9,11,0.3552126114722559
10,11,0.2281790652338405
11,11,0.264420990571714
12,11,0.3516927694310939
13,11,0.2935107582694604
14,11,0.3964690648987947
15,11,0.3886483242714428
16,11,0.3878812694431151
17,11,0.286293647428844
18,11,0.3143609009116405
19,11,0.3506393349426311
20,11,0.3507940455752929
21,11,0.3293422449284863
22,11,0.3774785380718166
23,11,0.2758287813990162
24,11,0.3616259029385563
25,11,0.320200199838308
26,11,0.2941453397887127
27,11,0.364516944677714
28,11,0.258678726532012
29,11,0.3261742179849174
30,11,0.2281582130973189
31,11,0.2808713972640823
32,11,0.2774260180642011
33,11,0.3371492618180827
34,11,0.2408359155363965
35,11,0.3161003897153651
36,11,0.271723987022794
37,11,0.3599737137874675
38,11,0.2982289408273643
39,11,0.3270605457622067
40,11,0.3531221247648927
41,11,0.2285246681788695
42,11,0.341983973717462
43,11,0.3047249762371307
44,11,0.3815441555134551
45,11,0.3064216728384412
46,11,0.3531111584811687
47,11,0.3590890029045415
48,11,0.3072381391329718
49,11,0.3680107216140401
50,11,0.3339337567565444
51,11,0.3706971123426453
52,11,0.241433419299656
53,11,0.3536916219793379
54,11,0.3501351379649692
55,11,0.2893316555260366
56,11,0.2526609599901343
57,11,0.2961203414497484
58,11,0.3798254937161042
59,11,0.2360565324890701
60,11,0.2608370670878872
61,11,0.3921253511059832
62,11,0.2722738843652222
63,11,0.3396741640042423
64,11,0.3671844446796295
65,11,0.2990486275025619
66,11,0.2932264646372108
67,11,0.3362053304208862
68,11,0.300922843296938
69,11,0.2897431143143469
70,11,0.2426625783976395
71,11,0.2763518937154507
72,11,0.3745099643489676
73,11,0.2537802427372995
74,11,0.3711765629196688
75,11,0.261304168739329
76,11,0.256600898741629
77,11,0.3558170827411058
78,11,0.2268415744777858
79,11,0.3718631154413105
80,11,0.2434096485022732
81,11,0.3581654534625086
82,11,0.3435991155957597
83,11,0.2715903781478083
84,11,0.3885325319234847
85,11,0.3209921774513867
86,11,0.3415469662587355
87,11,0.3667768701634668
88,11,0.3417402828609302
89,11,0.2658178961023459
90,11,0.2974722849413683
91,11,0.2349944275199083
92,11,0.3031428354315751
93,11,0.2947135912183992
94,11,0.2392211900745773
95,11,0.2971212850404164
96,11,0.401470645689601
97,11,0.3455798214502752
98,11,0.3626396161433591
99,11,0.2874186708456817
100,11,0.2785767534906986
101,11,0.3908017316496914
102,11,0.2659936732253174
103,11,0.3293696000748083
104,11,0.3427613659692491
105,11,0.3031327165186402
106,11,0.3378365314092032
107,11,0.3109131456144023
108,11,0.2995938118320593
109,11,0.2961306624543655
110,11,0.4019352441576302
111,11,0.2890762306412484
112,11,0.2354460487686241
113,11,0.3450133179980842
114,11,0.3147165915862356
115,11,0.2588849837127325
116,11,0.2732913494664697
117,11,0.2686990000158715
118,11,0.3181344189994993
119,11,0.3201571806146112
120,11,0.3800699490599664
121,11,0.3375728169958473
122,11,0.2575853760427022
123,11,0.3544971631428956
124,11,0.3766974199614855
125,11,0.2314126382034872
126,11,0.3256692428047716
127,11,0.2518744848150606
128,11,0.3842165236960743
129,11,0.2517301185554139
130,11,0.3231891175107066
131,11,0.3082434414630555
132,11,0.3209645825505272
133,11,0.3720548211461842
134,11,0.2620670615598619
135,11,0.2315293129463144
136,11,0.2675254650069799
137,11,0.2675203289968601
138,11,0.3859010945638577
139,11,0.3485390924396315
140,11,0.2805319877732515
141,11,0.3144068473902858
142,11,0.2324255538205792
143,11,0.2209108453292956
144,11,0.3785126377378076
145,11,0.3602848211662786
146,11,0.346848983227629
147,11,0.3557297450084704
148,11,0.2725380774219948
149,11,0.306277860057157
150,11,0.2491880704692709
151,11,0.228051580402241
152,11,0.3131136267536527
153,11,0.2512601684158608
