time,xt_0,xt_1,xt_2,xt_3,xb_0,xb_1,xb_2
0,0.175,0.228,0.007,0.007,0,0,0
1,0.175,0.23,0.072,0.079,0,0,0
2,0.176,0.229,0.025,0.104,0,0,0
3,0.175,0.229,0.029,0.132,0,0,0
4,0.176,0.229,0.031,0.163,0,0,0
5,0.176,0.228,0.003,0.167,0,0,0
6,0.176,0.228,0.037,0.203,0,0,0
7,0.176,0.228,0.005,0.209,0,0,1
8,0.176,0.228,0.084,0.294,0,0,1
9,0.177,0.229,0.007,0.299,0,0,1
10,0.176,0.228,0.033,0.334,0,0,1
11,0.175,0.229,0.025,0.357,0,0,1
12,0.175,0.228,0.09,0.448,0,0,1
13,0.176,0.229,0.017,0.465,0,0,1
14,0.176,0.23,0.038,0.505,0,0,1
15,0.175,0.229,0.102,0.606,0,0,1
16,0.176,0.229,0.029,0.631,0,0,1
17,0.175,0.23,0.158,0.789,0,0,1
18,0.176,0.229,0.029,0.82,0,0,1
19,0.176,0.23,0.022,0.841,0,0,1
20,0.176,0.229,0.01,0.855,0,0,1
21,0.176,0.228,0.018,0.868,0,0,1
22,0.175,0.228,0.04,0.906,0,0,0
23,0.176,0.228,0.006,0.918,0,0,0
24,0.176,0.229,0.019,0.019,0,0,0
25,0.176,0.23,0.012,0.032,0,0,0
26,0.175,0.229,0.014,0.046,0,0,0
27,0.176,0.23,0.021,0.066,0,0,0
28,0.175,0.23,0.008,0.075,0,0,0
29,0.176,0.228,0.018,0.093,0,0,0
30,0.175,0.23,0.03,0.123,0,0,0
31,0.175,0.23,0.091,0.214,0,0,1
32,0.176,0.228,0.04,0.253,0,0,1
33,0.176,0.229,0.011,0.265,0,0,1
34,0.175,0.228,0.026,0.291,0,0,1
35,0.176,0.23,0.02,0.311,0,0,1
36,0.176,0.229,0.034,0.345,0,0,1
37,0.176,0.23,0.14,0.486,0,0,1
38,0.174,0.229,0.023,0.508,0,0,1
39,0.175,0.228,0.005,0.511,0,0,1
40,0.176,0.23,0.096,0.606,0,0,1
41,0.174,0.229,0.069,0.677,0,0,1
42,0.175,0.229,0.033,0.712,0,0,1
43,0.175,0.229,0.033,0.74,0,0,1
44,0.175,0.229,0.134,0.882,0,0,1
45,0.175,0.23,0.013,0.89,0,0,1
46,0.175,0.228,0.025,0.912,0,0,0
47,0.175,0.23,0.002,0.915,0,0,0
48,0.175,0.229,0.018,0.018,0,0,0
49,0.176,0.228,0.001,0.019,0,0,0
50,0.175,0.228,0.001,0.021,0,0,0
51,0.176,0.229,0.031,0.052,0,0,0
52,0.176,0.228,0.028,0.08,0,0,0
53,0.176,0.23,0.008,0.088,0,0,0
54,0.176,0.228,0.025,0.113,0,0,0
55,0.175,0.228,0.019,0.132,0,0,1
56,0.176,0.23,0.022,0.155,0,0,1
57,0.176,0.228,0.008,0.163,0,0,1
58,0.176,0.229,0.077,0.242,0,0,1
59,0.175,0.229,0.064,0.307,0,0,1
60,0.176,0.229,0.009,0.316,0,0,1
61,0.175,0.23,0.091,0.405,0,0,1
62,0.175,0.229,0.03,0.436,0,0,1
63,0.176,0.229,0.002,0.44,0,0,1
64,0.175,0.229,0.132,0.571,0,0,1
65,0.175,0.23,0.067,0.639,0,0,1
66,0.175,0.229,0.022,0.659,0,0,1
67,0.176,0.23,0.075,0.736,0,0,1
68,0.175,0.23,0.071,0.808,0,0,1
69,0.175,0.23,0.014,0.819,0,0,1
70,0.176,0.229,0.079,0.899,0,0,0
71,0.176,0.229,0.023,0.924,0,0,0
72,0.176,0.228,0.041,0.041,0,1,0
73,0.175,0.229,0.023,0.064,0,1,0
74,0.175,0.23,0.02,0.085,0,1,0
75,0.175,0.229,0.02,0.104,0,1,0
76,0.175,0.23,0.037,0.141,0,1,0
77,0.176,0.229,0.003,0.144,0,1,0
78,0.176,0.228,0.015,0.16,0,1,0
79,0.176,0.229,0.027,0.187,0,1,1
80,0.176,0.23,0.092,0.28,0,1,1
81,0.175,0.23,0.012,0.29,0,1,1
82,0.175,0.229,0.032,0.322,0,1,1
83,0.176,0.23,0.02,0.343,0,1,1
84,0.176,0.23,0.011,0.356,0,1,1
85,0.176,0.228,0.009,0.364,0,1,1
86,0.175,0.228,0.009,0.374,0,1,1
87,0.176,0.23,0.024,0.398,0,1,1
88,0.176,0.228,0.034,0.432,0,1,1
89,0.176,0.229,0.008,0.44,0,1,1
90,0.174,0.228,0.11,0.551,0,1,1
91,0.175,0.23,0.015,0.566,0,1,1
92,0.175,0.23,0.03,0.597,0,1,1
93,0.176,0.23,0.149,0.745,0,1,1
94,0.176,0.23,0.088,0.83,0,1,0
95,0.175,0.229,0.083,0.917,0,1,0
96,0.175,0.229,0.017,0.017,0,1,0
97,0.176,0.231,0.032,0.05,0,1,0
98,0.176,0.23,0.006,0.056,0,1,0
99,0.175,0.231,0.007,0.063,0,1,0
100,0.175,0.229,0.043,0.106,0,1,0
101,0.175,0.231,0.038,0.145,0,1,0
102,0.175,0.23,0.012,0.157,0,1,0
103,0.176,0.23,0.049,0.206,0,1,1
104,0.174,0.229,0.01,0.216,0,1,1
105,0.176,0.23,0.035,0.251,0,1,1
106,0.175,0.231,0.095,0.345,0,1,1
107,0.176,0.231,0.063,0.409,0,1,1
108,0.176,0.229,0.003,0.414,0,1,1
109,0.176,0.229,0.067,0.481,0,1,1
110,0.175,0.231,0.041,0.525,0,1,1
111,0.175,0.231,0.061,0.581,0,1,1
112,0.176,0.232,0.043,0.625,0,1,1
113,0.176,0.231,0.097,0.728,0,1,1
114,0.176,0.229,0.016,0.742,0,1,1
115,0.175,0.23,0.041,0.783,0,1,1
116,0.176,0.232,0.064,0.85,0,1,1
117,0.176,0.231,0.037,0.882,0,1,1
118,0.176,0.229,0.005,0.889,0,1,0
119,0.175,0.231,0.062,0.946,0,1,0
120,0.175,0.231,0.012,0.012,0,0,0
121,0.175,0.23,0.004,0.016,0,0,0
122,0.176,0.23,0.007,0.023,0,0,0
123,0.177,0.231,0.004,0.027,0,0,0
124,0.177,0.23,0.004,0.031,0,0,0
125,0.177,0.231,0.024,0.055,0,0,0
126,0.176,0.23,0.008,0.063,0,0,0
127,0.177,0.229,0.001,0.064,0,0,1
128,0.177,0.23,0.003,0.067,0,0,1
