time,xt_0,xt_1,xt_2,xt_3,xb_0,xb_1,xb_2
0,2.174,0.201,0.202,1.904,0,0,0
1,2.163,0.632,0.838,1.893,0,0,0
2,2.172,0.727,1.561,1.891,0,0,0
3,2.165,0.051,1.618,1.892,0,0,0
4,2.167,0.665,2.27,1.901,0,0,0
5,2.161,0.221,2.498,1.893,0,0,0
6,2.167,0.42,2.929,1.901,0,0,0
7,2.167,0.723,3.661,1.894,0,0,1
8,2.181,0.319,3.948,1.891,0,0,1
9,2.169,0.437,4.383,1.901,0,0,1
10,2.165,0.394,4.791,1.889,0,0,1
11,2.182,0.134,4.914,1.89,0,0,1
12,2.174,0.241,5.188,1.903,0,0,1
13,2.173,0.173,5.344,1.903,0,0,1
14,2.17,0.049,5.407,1.897,0,0,1
15,2.182,0.216,5.624,1.903,0,0,1
16,2.163,0.039,5.637,1.904,0,0,1
17,2.179,0.324,5.948,1.886,0,0,1
18,2.167,0.34,6.338,1.889,0,0,1
19,2.174,0.228,6.517,1.892,0,0,1
20,2.168,0.516,7.083,1.901,0,0,1
21,2.175,0.069,7.098,1.894,0,0,1
22,2.162,0.523,7.628,1.899,0,0,0
23,2.169,0.624,8.295,1.887,0,0,0
24,2.168,0.268,0.27,1.902,0,0,0
25,2.18,0.077,0.344,1.902,0,0,0
26,2.18,0.185,0.529,1.893,0,0,0
27,2.184,0.028,0.559,1.897,0,0,0
28,2.164,0.122,0.68,1.89,0,0,0
29,2.172,0.315,0.993,1.904,0,0,0
30,2.166,0.063,1.058,1.904,0,0,0
31,2.177,0.082,1.144,1.899,0,0,1
32,2.181,0.128,1.27,1.901,0,0,1
33,2.182,0.305,1.575,1.891,0,0,1
34,2.176,0.167,1.746,1.887,0,0,1
35,2.172,0.126,1.871,1.88,0,0,1
36,2.166,0.102,1.975,1.884,0,0,1
37,2.178,0.048,2.022,1.888,0,0,1
38,2.168,0.072,2.099,1.888,0,0,1
39,2.165,0.254,2.35,1.895,0,0,1
40,2.173,0.122,2.46,1.881,0,0,1
41,2.183,0.288,2.745,1.891,0,0,1
42,2.19,5.221,7.985,1.892,0,0,1
43,2.187,0.021,7.978,1.885,0,0,1
44,2.174,0.103,8.103,1.89,0,0,1
45,2.174,0.116,8.205,1.896,0,0,1
46,2.171,0.073,8.273,1.897,0,0,0
47,2.174,0.197,8.5,1.893,0,0,0
48,2.176,0.589,0.586,1.899,0,0,0
49,2.164,0.027,0.611,1.895,0,0,0
50,2.178,0.429,1.04,1.891,0,0,0
51,2.162,0.586,1.625,1.896,0,0,0
