time,xt_0,xt_1,xt_2,xt_3,xb_0,xb_1,xb_2
0,1.488,0.118,0.118,0.862,0,0,0
1,1.489,0.106,0.224,0.857,0,0,0
2,1.483,0.122,0.345,0.864,0,0,0
3,1.487,0.001,0.348,0.857,0,0,0
4,1.477,0.237,0.584,0.857,0,0,0
5,1.483,0.043,0.625,0.858,0,0,0
6,1.482,0.006,0.636,0.857,0,0,0
7,1.484,0.241,0.876,0.862,0,0,1
8,1.487,0.12,0.993,0.861,0,0,1
9,1.485,0.243,1.239,0.853,0,0,1
10,1.484,1.3,2.532,0.856,0,0,1
11,1.485,1.283,3.819,0.854,0,0,1
12,1.489,0.141,3.948,0.855,0,0,1
13,1.49,0.041,4.004,0.861,0,0,1
14,1.484,0.202,4.194,0.855,0,0,1
15,1.476,0.175,4.359,0.854,0,0,1
16,1.485,0.103,4.492,0.86,0,0,1
17,1.478,0.23,4.716,0.854,0,0,1
18,1.49,1.282,6.015,0.859,0,0,1
19,1.481,0.041,6.016,0.855,0,0,1
20,1.482,0.017,6.047,0.853,0,0,1
21,1.483,0.22,6.27,0.857,0,0,1
22,1.488,0.233,6.513,0.861,0,0,0
23,1.485,0.001,6.497,0.855,0,0,0
24,1.483,0.226,0.227,0.858,0,0,0
25,1.484,0.237,0.463,0.854,0,0,0
26,1.489,0.026,0.489,0.856,0,0,0
27,1.486,0.188,0.679,0.855,0,0,0
28,1.481,0.179,0.856,0.856,0,0,0
29,1.482,0.076,0.928,0.858,0,0,0
30,1.485,0.168,1.101,0.854,0,0,0
31,1.488,0.176,1.278,0.861,0,0,1
32,1.478,0.04,1.311,0.861,0,0,1
33,1.478,0.033,1.344,0.861,0,0,1
34,1.479,1.263,2.598,0.854,0,0,1
35,1.482,0.219,2.818,0.855,0,0,1
36,1.482,1.264,4.074,0.862,0,0,1
37,1.489,0.032,4.139,0.862,0,0,1
38,1.479,0.105,4.236,0.854,0,0,1
39,1.487,0.117,4.333,0.861,0,0,1
40,1.481,0.107,4.447,0.86,0,0,1
41,1.487,0.247,4.696,0.86,0,0,1
42,1.481,0.199,4.921,0.86,0,0,1
43,1.484,0.196,5.101,0.86,0,0,1
44,1.487,0.001,5.109,0.859,0,0,1
45,1.481,1.262,6.391,0.86,0,0,1
46,1.487,0.093,6.44,0.859,0,0,0
47,1.482,0.062,6.494,0.856,0,0,0
48,1.485,0.046,0.046,0.859,0,0,0
49,1.487,1.24,1.29,0.858,0,0,0
50,1.485,0.118,1.405,0.859,0,0,0
51,1.483,0.138,1.554,0.86,0,0,0
52,1.483,0.081,1.637,0.858,0,0,0
53,1.49,0.163,1.801,0.859,0,0,0
54,1.477,0.171,1.959,0.859,0,0,0
55,1.484,0.034,1.991,0.855,0,0,1
56,1.489,0.131,2.135,0.858,0,0,1
57,1.477,0.036,2.164,0.862,0,0,1
58,1.481,0.144,2.313,0.858,0,0,1
59,1.481,0.233,2.534,0.859,0,0,1
60,1.488,0.118,2.67,0.856,0,0,1
61,1.478,0.242,2.909,0.859,0,0,1
62,1.489,0.128,3.022,0.854,0,0,1
63,1.478,0.1,3.144,0.862,0,0,1
64,1.484,0.227,3.372,0.855,0,0,1
65,1.485,1.24,4.601,0.858,0,0,1
66,1.48,0.162,4.755,0.862,0,0,1
67,1.485,0.106,4.846,0.862,0,0,1
68,1.477,0.169,5.011,0.857,0,0,1
69,1.477,1.237,6.274,0.86,0,0,1
70,1.48,0.124,6.416,0.863,0,0,0
71,1.482,0.12,6.547,0.861,0,0,0
72,1.49,0.078,0.078,0.862,0,1,0
73,1.477,0.079,0.157,0.858,0,1,0
74,1.49,0.095,0.251,0.86,0,1,0
75,1.476,0.118,0.37,0.859,0,1,0
76,1.488,0.038,0.406,0.858,0,1,0
77,1.487,0.004,0.411,0.855,0,1,0
78,1.489,0.125,0.537,0.856,0,1,0
79,1.477,0.123,0.659,0.858,0,1,1
80,1.478,0.134,0.79,0.857,0,1,1
81,1.481,1.576,2.371,0.856,0,1,1
82,1.493,0.117,2.477,0.854,0,1,1
83,1.489,0.032,2.518,0.854,0,1,1
84,1.482,0.105,2.621,0.854,0,1,1
85,1.483,0.148,2.781,0.854,0,1,1
86,1.476,0.046,2.803,0.859,0,1,1
87,1.488,0.154,2.968,0.854,0,1,1
88,1.481,0.116,3.073,0.861,0,1,1
89,1.493,1.578,4.647,0.855,0,1,1
90,1.491,0.112,4.792,0.857,0,1,1
91,1.483,0.004,4.785,0.854,0,1,1
92,1.476,0.125,4.928,0.862,0,1,1
93,1.483,0.829,5.724,0.861,0,1,1
94,1.488,0.045,5.758,0.863,0,1,0
95,1.483,0.836,6.61,0.857,0,1,0
96,1.484,0.112,0.112,0.858,0,1,0
97,1.483,0.024,0.136,0.862,0,1,0
98,1.484,0.038,0.174,0.857,0,1,0
99,1.484,0.717,0.888,0.855,0,1,0
100,1.486,0.095,0.983,0.857,0,1,0
101,1.487,0.114,1.099,0.862,0,1,0
102,1.488,0.026,1.126,0.86,0,1,0
103,1.491,0.078,1.207,0.855,0,1,1
104,1.492,0.051,1.255,0.859,0,1,1
105,1.483,0.007,1.261,0.86,0,1,1
106,1.49,0.046,1.309,0.855,0,1,1
107,1.475,0.007,1.321,0.86,0,1,1
108,1.483,0.068,1.388,0.856,0,1,1
109,1.484,0.71,2.103,0.861,0,1,1
110,1.49,0.055,2.149,0.858,0,1,1
111,1.491,0.719,2.862,0.857,0,1,1
112,1.49,0.126,2.999,0.862,0,1,1
113,1.486,0.702,3.696,0.862,0,1,1
114,1.48,0.111,3.795,0.856,0,1,1
115,1.487,0.091,3.914,0.857,0,1,1
116,1.489,0.706,4.597,0.863,0,1,1
117,1.494,1.35,5.937,0.861,0,1,1
118,1.493,0.709,6.687,0.863,0,1,0
119,1.492,0.002,6.694,0.862,0,1,0
120,1.496,1.37,1.378,0.865,0,0,0
121,1.491,0.129,1.505,0.861,0,0,0
122,1.486,0.01,1.512,0.865,0,0,0
123,1.494,0.034,1.542,0.861,0,0,0
124,1.497,0.059,1.608,0.859,0,0,0
125,1.493,0.038,1.644,0.865,0,0,0
126,1.498,0.067,1.711,0.857,0,0,0
127,1.499,0.051,1.755,0.864,0,0,1
128,1.485,0.076,1.84,0.862,0,0,1
129,1.495,0.094,1.926,0.862,0,0,1
130,1.492,0.095,2.023,0.857,0,0,1
131,1.497,0.035,2.067,0.857,0,0,1
132,1.496,0.725,2.8,0.856,0,0,1
133,1.497,0.129,2.925,0.854,0,0,1
134,1.488,0.045,2.96,0.859,0,0,1
135,1.492,0.041,3.002,0.862,0,0,1
136,1.493,0.024,3.038,0.862,0,0,1
137,1.503,0.73,3.762,0.86,0,0,1
138,1.494,0.718,4.479,0.858,0,0,1
139,1.494,0.018,4.48,0.858,0,0,1
140,1.495,0.008,4.477,0.86,0,0,1
141,1.5,0.727,5.209,0.862,0,0,1
142,1.491,0.715,5.918,0.859,0,0,0
143,1.495,0.715,6.665,0.86,0,0,0
144,1.501,0.042,0.042,0.862,0,0,0
145,1.5,0.065,0.106,0.86,0,0,0
146,1.501,0.0,0.107,0.859,0,0,0
147,1.498,0.038,0.145,0.857,0,0,0
148,1.493,0.016,0.161,0.857,0,0,0
149,1.496,0.03,0.191,0.855,0,0,0
150,1.501,0.06,0.251,0.857,0,0,0
151,1.507,0.07,0.32,0.859,0,0,1
152,1.509,0.981,1.306,0.86,0,0,1
153,1.505,0.003,1.304,0.855,0,0,1
154,1.509,0.015,1.33,0.857,0,0,1
155,1.504,0.055,1.38,0.856,0,0,1
156,1.502,0.053,1.426,0.862,0,0,1
157,1.511,0.684,2.123,0.863,0,0,1
158,1.502,0.031,2.149,0.863,0,0,1
159,1.518,0.684,2.841,0.863,0,0,1
160,1.511,0.361,3.179,0.86,0,0,1
161,1.512,0.365,3.554,0.859,0,0,1
162,1.513,0.686,4.231,0.862,0,0,1
163,1.516,0.69,4.93,0.864,0,0,1
164,1.519,0.681,5.614,0.861,0,0,1
165,1.526,0.36,5.951,0.856,0,0,1
166,1.535,0.684,6.678,0.864,0,0,0
167,1.522,0.361,7.04,0.857,0,0,0
168,1.531,0.023,0.023,0.865,1,0,0
169,1.523,0.005,0.027,0.863,1,0,0
170,1.533,0.006,0.033,0.863,1,0,0
171,1.532,0.029,0.063,0.86,1,0,0
172,1.535,0.01,0.072,0.865,1,0,0
173,1.522,0.019,0.091,0.861,1,0,0
174,1.532,0.007,0.099,0.864,1,0,0
175,1.52,0.019,0.118,0.862,1,0,1
176,1.531,0.702,0.812,0.861,1,0,1
177,1.533,0.544,1.353,0.861,1,0,1
178,1.537,0.002,1.367,0.858,1,0,1
179,1.547,0.38,1.737,0.86,1,0,1
180,1.552,0.697,2.436,0.863,1,0,1
181,1.545,0.378,2.83,0.861,1,0,1
182,1.554,0.201,3.011,0.859,1,0,1
183,1.556,0.545,3.573,0.858,1,0,1
184,1.544,0.543,4.093,0.863,1,0,1
185,1.551,0.2,4.299,0.862,1,0,1
186,1.55,0.381,4.681,0.861,1,0,1
187,1.545,0.2,4.909,0.865,1,0,1
188,1.561,1.232,6.138,0.869,1,0,1
189,1.568,0.198,6.322,0.863,1,0,1
190,1.565,0.979,7.274,0.87,1,0,0
191,1.563,0.38,7.657,0.871,1,0,0
192,1.577,0.288,0.289,0.868,1,0,0
193,1.575,0.13,0.419,0.867,1,0,0
194,1.572,0.004,0.423,0.866,1,0,0
195,1.58,0.131,0.552,0.867,1,0,0
196,1.568,0.069,0.626,0.865,1,0,0
197,1.578,0.069,0.696,0.868,1,0,0
198,1.57,0.069,0.761,0.873,1,0,0
199,1.575,0.335,1.097,0.871,1,0,1
200,1.58,0.24,1.337,0.87,1,0,1
201,1.59,0.337,1.665,0.878,1,0,1
202,1.585,0.382,2.062,0.878,1,0,1
203,1.608,0.778,2.846,0.872,1,0,1
204,1.622,0.68,3.502,0.878,1,0,1
205,1.635,0.838,4.376,0.874,1,0,1
206,1.646,0.714,5.095,0.896,1,0,1
207,1.623,0.811,5.895,0.893,1,0,1
208,1.632,0.779,6.657,0.9,1,0,1
209,1.612,0.748,7.396,0.906,1,0,1
210,1.628,0.808,8.266,0.91,1,0,1
211,1.616,0.613,8.881,0.918,1,0,1
212,1.604,0.777,9.634,0.926,1,0,1
