time,route_id,Warehouse_time,pack_time
0,5,0.9152972,0.93057454
1,5,0.9047723,0.9315572
2,5,0.90553266,0.93140715
3,5,0.887352,0.9319984
4,5,0.8888005,0.9295105
5,5,0.88166535,0.9341009
6,5,0.88090277,0.9328386
7,5,0.8671403,0.93464315
8,5,0.87766314,0.9360552
9,5,0.8741309,0.92849475
10,5,0.879068,0.92026824
11,5,0.8880283,0.916469
12,5,0.90441406,0.95709115
13,5,0.9212459,0.9425742
14,5,0.91461265,0.94907606
15,5,0.91034496,0.9465979
16,5,0.91038036,0.93374884
17,5,0.91034824,0.9394108
18,5,0.89867526,0.93957293
19,5,0.88911134,0.93677264
20,5,0.894935,0.9299558
21,5,0.89355075,0.93085444
22,5,0.8772915,0.93535507
23,5,0.86937773,0.9241408
24,5,0.90152824,0.9284905
25,5,0.9108025,0.9354011
26,5,0.9003151,0.93330604
27,5,0.8882683,0.9364443
28,5,0.88101673,0.94024944
29,5,0.8746058,0.94105756
30,5,0.879543,0.9363781
31,5,0.8672177,0.93366593
32,5,0.8712056,0.93153316
33,5,0.8775719,0.9282088
34,5,0.8965761,0.926603
35,5,0.9018297,0.9216927
36,5,0.91287863,0.9458002
37,5,0.9151924,0.946839
38,5,0.9180614,0.94551545
39,5,0.9099399,0.9457428
40,5,0.9059566,0.94056624
41,5,0.9073334,0.93564785
42,5,0.9053175,0.9391655
43,5,0.8976885,0.92731476
44,5,0.8962631,0.93481505
45,5,0.88797235,0.9321493
46,5,0.8785489,0.94242144
47,5,0.88654965,0.94867337
48,5,0.9093789,0.9300893
49,5,0.91442764,0.93678886
50,5,0.9163079,0.93275386
51,5,0.90584266,0.9406373
52,5,0.9020773,0.93436956
53,5,0.8945115,0.9431071
54,5,0.88641655,0.9529276
55,5,0.87984306,0.9371832
56,5,0.87999475,0.9412772
57,5,0.8874856,0.92877996
58,5,0.88962924,0.92675173
59,5,0.8938591,0.9323865
60,5,0.89611226,0.9373125
61,5,0.9061612,0.9408296
62,5,0.90827703,0.93646467
63,5,0.90174115,0.9401867
64,5,0.89468956,0.9345046
65,5,0.892488,0.931345
66,5,0.8929836,0.93157244
67,5,0.8928479,0.9327775
68,5,0.8883796,0.92849237
69,5,0.8864478,0.9335297
70,5,0.863005,0.9404291
71,5,0.8684524,0.94164866
72,5,0.91755545,0.9304778
73,5,0.9119903,0.9314314
74,5,0.91103,0.9371772
75,5,0.91048795,0.93062085
76,5,0.9002038,0.9340003
77,5,0.89076006,0.936337
78,5,0.89197636,0.9398664
79,5,0.91229945,0.92846644
80,5,0.8969881,0.92438257
81,5,0.8867979,0.95663214
82,5,0.88493425,0.93561584
83,5,0.88442695,0.9230794
84,5,0.93594277,0.95497763
85,5,0.9035653,0.9513211
86,5,0.91302395,0.9480488
87,5,0.89684117,0.933695
88,5,0.8985057,0.9397127
89,5,0.90045595,0.9409221
90,5,0.8910777,0.94099885
91,5,0.879309,0.94552964
92,5,0.8849961,0.9353701
93,5,0.8733001,0.9302393
94,5,0.87474746,0.9234258
95,5,0.87844723,0.93487394
96,5,0.91254413,0.93638724
97,5,0.90005314,0.93506277
98,5,0.91120243,0.92386466
99,5,0.89026433,0.9364562
100,5,0.87429106,0.9360572
101,5,0.8754748,0.9334962
102,5,0.87434864,0.9332632
103,5,0.8738077,0.9249996
104,5,0.8829986,0.9246311
105,5,0.87291,0.93652534
106,5,0.883026,0.9265521
107,5,0.89199907,0.9224647
108,5,0.93296576,0.95416033
109,5,0.9287837,0.96594846
110,5,0.93737507,0.934728
111,5,0.94373465,0.9535135
112,5,0.9379676,0.93803453
113,5,0.9093092,0.93036306
114,5,0.916642,0.93315923
115,5,0.90439177,0.9264323
116,5,0.90336114,0.9260191
117,5,0.87885773,0.9296795
118,5,0.88385165,0.9317091
119,5,0.8754236,0.9356364
120,5,0.9051983,0.93635714
121,5,0.9080475,0.9428795
122,5,0.89374936,0.94137657
123,5,0.8755161,0.94981515
124,5,0.8827318,0.9467969
125,5,0.8820586,0.92791855
126,5,0.8844539,0.9359239
127,5,0.8695424,0.94844264
128,5,0.8751685,0.9340008
129,5,0.88081646,0.9270296
130,5,0.89329195,0.9193368
131,5,0.9000929,0.9333847
132,5,0.90910447,0.941601
133,5,0.90672696,0.9447228
134,5,0.91560566,0.93792343
135,5,0.91054904,0.9460514
136,5,0.9190569,0.9420756
137,5,0.90983945,0.93924963
138,5,0.8992464,0.93358773
139,5,0.9013216,0.92773736
140,5,0.89666826,0.9336893
141,5,0.89522,0.9298717
142,5,0.8611549,0.940626
143,5,0.86955947,0.9382795
144,5,0.909922,0.93629265
145,5,0.8961743,0.9305693
146,5,0.9026373,0.92493737
147,5,0.8875803,0.92360735
148,5,0.8924018,0.91974247
149,5,0.87698156,0.92322695
150,5,0.8951518,0.92234105
151,5,0.88961923,0.9553236
152,5,0.8801385,0.95879614
153,5,0.8786448,0.9496223
154,5,0.87073565,0.9146167
155,5,0.8813575,0.92773044
156,5,0.8986967,0.96211946
157,5,0.91091645,0.9541128
158,5,0.9220756,0.92115086
159,5,0.90473807,0.96469957
160,5,0.8973341,0.96635216
161,5,0.8989905,0.965903
162,5,0.89820516,0.9548477
163,5,0.89159614,0.95659244
164,5,0.8802676,0.94257516
165,5,0.8684065,0.9216649
166,5,0.86706847,0.95108414
167,5,0.87529266,0.9448024
168,5,0.9128162,0.9379098
169,5,0.9026022,0.93496954
170,5,0.9068964,0.9297887
171,5,0.89740145,0.9312112
172,5,0.89399403,0.93130416
173,5,0.8916868,0.9327675
174,5,0.8911227,0.9311938
175,5,0.9061265,0.92997485
176,5,0.893788,0.9251429
177,5,0.8542285,0.92902565
178,5,0.83824074,0.9375777
179,5,0.85123557,0.9325509
180,5,0.9012704,0.94698733
181,5,0.9078413,0.94056004
182,5,0.9117886,0.92859995
183,5,0.9112784,0.92910576
184,5,0.8974174,0.9153988
185,5,0.91317225,0.91842633
186,5,0.89381665,0.9412053
187,5,0.87949246,0.94594944
188,5,0.8671254,0.934741
189,5,0.8662137,0.94201213
190,5,0.89283925,0.90432435
191,5,0.8803934,0.9113182
192,5,0.95699334,0.98539132
193,5,0.93229091,0.98053247
194,5,0.90616095,0.93862653
195,5,0.91218317,0.93061823
196,5,0.92145187,0.9705922
197,5,0.93212658,0.96370643
198,5,0.93673998,0.95951718
199,5,0.90149438,0.91660476
