time,xt_0,xt_1,xt_2,xt_3,xb_0,xb_1,xb_2
0,0.146,0.2,0.029,0.029,0,0,0
1,0.145,0.2,0.006,0.035,0,0,0
2,0.145,0.201,0.045,0.08,0,0,0
3,0.145,0.199,0.008,0.089,0,0,0
4,0.145,0.2,0.052,0.141,0,0,0
5,0.145,0.201,0.029,0.169,0,0,0
6,0.146,0.201,0.036,0.206,0,0,0
7,0.145,0.2,0.043,0.249,0,0,1
8,0.146,0.201,0.009,0.259,0,0,1
9,0.145,0.201,0.01,0.268,0,0,1
10,0.146,0.2,0.27,0.539,0,0,1
11,0.145,0.2,0.006,0.546,0,0,1
12,0.146,0.2,0.012,0.558,0,0,1
13,0.146,0.2,0.052,0.611,0,0,1
14,0.145,0.202,0.007,0.617,0,0,1
15,0.146,0.2,0.026,0.644,0,0,1
16,0.145,0.202,0.023,0.667,0,0,1
17,0.145,0.2,0.062,0.726,0,0,1
18,0.145,0.202,0.051,0.78,0,0,1
19,0.145,0.201,0.01,0.79,0,0,1
20,0.146,0.199,0.035,0.824,0,0,1
21,0.145,0.2,0.044,0.868,0,0,1
22,0.145,0.201,0.002,0.869,0,0,0
23,0.145,0.201,0.051,0.922,0,0,0
24,0.146,0.2,0.012,0.012,0,0,0
25,0.145,0.199,0.016,0.028,0,0,0
26,0.146,0.199,0.015,0.044,0,0,0
27,0.145,0.201,0.044,0.088,0,0,0
28,0.146,0.201,0.023,0.111,0,0,0
29,0.145,0.2,0.02,0.131,0,0,0
30,0.146,0.2,0.014,0.145,0,0,0
31,0.145,0.2,0.004,0.149,0,0,1
32,0.146,0.201,0.043,0.191,0,0,1
33,0.146,0.201,0.014,0.206,0,0,1
34,0.145,0.2,0.204,0.407,0,0,1
35,0.146,0.2,0.026,0.434,0,0,1
36,0.145,0.2,0.005,0.442,0,0,1
37,0.146,0.2,0.023,0.463,0,0,1
38,0.146,0.201,0.21,0.676,0,0,1
39,0.145,0.2,0.037,0.709,0,0,1
40,0.146,0.201,0.007,0.716,0,0,1
41,0.146,0.199,0.026,0.741,0,0,1
42,0.145,0.2,0.02,0.765,0,0,1
43,0.145,0.201,0.003,0.771,0,0,1
44,0.145,0.201,0.033,0.804,0,0,1
45,0.146,0.2,0.039,0.839,0,0,1
46,0.146,0.2,0.044,0.881,0,0,0
47,0.145,0.201,0.042,0.923,0,0,0
48,0.146,0.201,0.044,0.045,0,0,0
49,0.146,0.201,0.003,0.047,0,0,0
50,0.145,0.201,0.01,0.058,0,0,0
51,0.146,0.201,0.029,0.088,0,0,0
52,0.145,0.199,0.039,0.126,0,0,0
53,0.145,0.2,0.042,0.168,0,0,0
54,0.146,0.201,0.036,0.204,0,0,0
55,0.145,0.2,0.026,0.229,0,0,1
56,0.145,0.201,0.006,0.236,0,0,1
57,0.146,0.2,0.183,0.419,0,0,1
58,0.145,0.2,0.041,0.463,0,0,1
59,0.145,0.2,0.014,0.477,0,0,1
60,0.145,0.201,0.031,0.509,0,0,1
61,0.145,0.201,0.003,0.51,0,0,1
62,0.145,0.201,0.045,0.557,0,0,1
63,0.146,0.2,0.179,0.733,0,0,1
64,0.145,0.201,0.005,0.742,0,0,1
65,0.145,0.201,0.03,0.773,0,0,1
66,0.146,0.2,0.046,0.813,0,0,1
67,0.145,0.201,0.007,0.819,0,0,1
68,0.145,0.201,0.028,0.851,0,0,1
69,0.145,0.2,0.045,0.901,0,0,1
70,0.146,0.201,0.012,0.913,0,0,0
71,0.145,0.201,0.017,0.921,0,0,0
72,0.146,0.201,0.008,0.008,0,1,0
73,0.145,0.2,0.046,0.054,0,1,0
74,0.146,0.2,0.035,0.09,0,1,0
75,0.145,0.2,0.03,0.12,0,1,0
76,0.145,0.201,0.001,0.121,0,1,0
77,0.145,0.2,0.022,0.144,0,1,0
78,0.145,0.201,0.007,0.149,0,1,0
79,0.145,0.2,0.044,0.195,0,1,1
80,0.146,0.2,0.021,0.216,0,1,1
81,0.145,0.2,0.033,0.248,0,1,1
82,0.145,0.2,0.018,0.267,0,1,1
83,0.145,0.202,0.014,0.282,0,1,1
84,0.145,0.201,0.034,0.315,0,1,1
85,0.146,0.201,0.012,0.328,0,1,1
86,0.145,0.201,0.213,0.542,0,1,1
87,0.145,0.201,0.008,0.549,0,1,1
88,0.146,0.201,0.176,0.725,0,1,1
89,0.146,0.2,0.032,0.754,0,1,1
90,0.146,0.201,0.041,0.8,0,1,1
91,0.146,0.201,0.029,0.829,0,1,1
92,0.146,0.2,0.001,0.826,0,1,1
93,0.145,0.2,0.046,0.873,0,1,1
94,0.145,0.201,0.028,0.899,0,1,0
95,0.145,0.201,0.023,0.93,0,1,0
96,0.146,0.2,0.005,0.005,0,1,0
97,0.145,0.2,0.026,0.031,0,1,0
98,0.145,0.201,0.023,0.055,0,1,0
99,0.145,0.2,0.038,0.093,0,1,0
100,0.145,0.2,0.002,0.095,0,1,0
101,0.146,0.201,0.032,0.127,0,1,0
102,0.145,0.2,0.024,0.15,0,1,0
103,0.146,0.2,0.0,0.152,0,1,1
104,0.146,0.2,0.163,0.313,0,1,1
105,0.145,0.202,0.007,0.32,0,1,1
106,0.146,0.201,0.019,0.342,0,1,1
107,0.146,0.201,0.159,0.503,0,1,1
108,0.145,0.202,0.038,0.541,0,1,1
109,0.146,0.2,0.04,0.58,0,1,1
110,0.146,0.2,0.04,0.619,0,1,1
111,0.145,0.2,0.008,0.626,0,1,1
112,0.145,0.201,0.035,0.665,0,1,1
113,0.146,0.201,0.035,0.696,0,1,1
114,0.145,0.2,0.006,0.703,0,1,1
115,0.146,0.201,0.005,0.71,0,1,1
116,0.146,0.2,0.012,0.725,0,1,1
117,0.145,0.199,0.032,0.756,0,1,1
118,0.146,0.2,0.019,0.773,0,1,0
119,0.145,0.201,0.154,0.931,0,1,0
120,0.145,0.2,0.007,0.006,0,0,0
121,0.146,0.2,0.003,0.009,0,0,0
122,0.146,0.201,0.003,0.013,0,0,0
123,0.145,0.2,0.002,0.016,0,0,0
124,0.146,0.201,0.002,0.018,0,0,0
125,0.146,0.201,0.01,0.027,0,0,0
126,0.146,0.201,0.011,0.039,0,0,0
127,0.145,0.2,0.011,0.05,0,0,1
128,0.145,0.201,0.055,0.105,0,0,1
129,0.146,0.2,0.003,0.108,0,0,1
130,0.145,0.2,0.012,0.12,0,0,1
131,0.146,0.2,0.011,0.13,0,0,1
132,0.146,0.201,0.057,0.188,0,0,1
133,0.145,0.201,0.05,0.237,0,0,1
134,0.146,0.202,0.01,0.248,0,0,1
135,0.146,0.201,0.092,0.34,0,0,1
136,0.146,0.202,0.091,0.432,0,0,1
137,0.145,0.202,0.002,0.431,0,0,1
138,0.145,0.203,0.096,0.53,0,0,1
139,0.145,0.202,0.092,0.621,0,0,1
140,0.145,0.202,0.051,0.669,0,0,1
141,0.145,0.203,0.135,0.809,0,0,1
142,0.146,0.204,0.087,0.898,0,0,0
143,0.145,0.203,0.09,0.982,0,0,0
144,0.145,0.203,0.005,0.006,0,0,0
145,0.145,0.205,0.008,0.014,0,0,0
146,0.145,0.205,0.005,0.019,0,0,0
147,0.146,0.203,0.046,0.065,0,0,0
148,0.145,0.203,0.009,0.074,0,0,0
149,0.146,0.204,0.001,0.075,0,0,0
150,0.146,0.203,0.005,0.08,0,0,0
